comm_name_orig,sci_name_orig,level,sci_name,comm_name,type,class,order,family,genus
Sandia,Paranthias colonus,species,Paranthias colonus,Pacific creole-fish,fish,Actinopterygii,Perciformes,Serranidae,Paranthias
Indio,Paranthias colonus,species,Paranthias colonus,Pacific creole-fish,fish,Actinopterygii,Perciformes,Serranidae,Paranthias
Coruco,Paranthias colonus,species,Paranthias colonus,Pacific creole-fish,fish,Actinopterygii,Perciformes,Serranidae,Paranthias
Criollo,Paranthias colonus,species,Paranthias colonus,Pacific creole-fish,fish,Actinopterygii,Perciformes,Serranidae,Paranthias
Tijereta,Paranthias colonus,species,Paranthias colonus,Pacific creole-fish,fish,Actinopterygii,Perciformes,Serranidae,Paranthias
Almeja voladora,Pecten sp,group,Pecten sp,NA,NA,NA,NA,NA,NA
Camaron de altamar,Penaeidae,group,Penaeidae,NA,NA,NA,NA,NA,NA
Camaron de estero,Penaeidae,group,Penaeidae,NA,NA,NA,NA,NA,NA
Camaron,Penaeidae,group,Penaeidae,NA,NA,NA,NA,NA,NA
Camaron verde,Penaeidae,group,Penaeidae,NA,NA,NA,NA,NA,NA
Camaron rosado,Penaeidae,group,Penaeidae,NA,NA,NA,NA,NA,NA
Camaron sintetico,Penaeidae,group,Penaeidae,NA,NA,NA,NA,NA,NA
Camaron de roca,Penaeidae,group,Penaeidae,NA,NA,NA,NA,NA,NA
Salema,Peprilus snyderi,species,Peprilus snyderi,Salema butterfish,fish,Actinopterygii,Perciformes,Stromateidae,Peprilus
Perca,Percidae,group,Percidae,NA,NA,NA,NA,NA,NA
Mojarra tenhuayaca,Petenia splendida,species,Petenia splendida,Bay snook,fish,Actinopterygii,Perciformes,Cichlidae,Petenia
Sargazo,Phaeophyceae,group,Phaeophyceae,NA,NA,NA,NA,NA,NA
Callo de hacha,Pinna rugosa,species,Pinna rugosa,Rugose pen shell,NA,NA,NA,NA,NA
Hacha larga,Pinna rugosa,species,Pinna rugosa,Rugose pen shell,NA,NA,NA,NA,NA
Ala de angel,Pinna rugosa,species,Pinna rugosa,Rugose pen shell,NA,NA,NA,NA,NA
Caracol chile,Pleuroploca princeps,species,Triplofusus princeps,Prince horse conch,NA,NA,NA,NA,NA
Percebe,Pollicipes elegans,species,Pollicipes elegans,NA,invert,Maxillopoda,Pedunculata,Pollicipedidae,Pollicipes
Pata de cabra,Pollicipes sp,group,Pollicipes sp,NA,NA,NA,NA,NA,NA
Bobo,Polydactilus sp,group,Polydactilus sp,NA,NA,NA,NA,NA,NA
Barbilla,Polydactylus approximans,species,Polydactylus approximans,Blue bobo,fish,Actinopterygii,Perciformes,Polynemidae,Polydactylus
Barbon,Polydactylus approximans,species,Polydactylus approximans,Blue bobo,fish,Actinopterygii,Perciformes,Polynemidae,Polydactylus
Barbeta,Polydactylus opercularis,species,Polydactylus opercularis,Yellow bobo,fish,Actinopterygii,Perciformes,Polynemidae,Polydactylus
Mapache,Pomadasys panamensis,species,Pomadasys panamensis,Panama grunt,fish,Actinopterygii,Perciformes,Haemulidae,Pomadasys
Roncacho,Pomadasys sp,group,Pomadasys sp,NA,NA,NA,NA,NA,NA
Tiburon azul,Prionace glauca,species,Prionace glauca,Blue shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace
Rubio,Prionotus ruscarius,species,Prionotus ruscarius,Common searobin,fish,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus
Boquilla,Prionotus ruscarius,species,Prionotus ruscarius,Common searobin,fish,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus
Vaca,Prionotus sp,group,Prionotus sp,NA,NA,NA,NA,NA,NA
Acocil,Procambarus sp,group,Procambarus sp,NA,NA,NA,NA,NA,NA
Cocodrilo,Pseudocarcharias kamoharai,species,Pseudocarcharias kamoharai,Crocodile shark,fish,Elasmobranchii,Lamniformes,Pseudocarchariidae,Pseudocarcharias
Chivato,Pseudupeneus grandisquamis,species,Pseudupeneus grandisquamis,Bigscale goatfish,fish,Actinopterygii,Perciformes,Mullidae,Pseudupeneus
Madre perla,Pteria sterna,species,Pteria sterna,Pacific wing-oyster,invert,Bivalvia,Pterioida,Pteriidae,Pteria
